,Jaccard,Coseno,Phi,Kappa,hipervolumen,generacion
0,"[np.float64(0.0), np.float64(0.7746179911770348), np.float64(0.01554379822445413), np.float64(0.049656502641964737)]","[np.float64(0.0), np.float64(0.8747821328717761), np.float64(0.014544792493442094), np.float64(0.11919458691950668)]","[np.float64(0.0), np.float64(1.1997298595692407), np.float64(0.028166124709883396), np.float64(1.0102459666803747)]","[np.float64(0.8846473742869374), np.float64(1.1186608494539687), np.float64(0.005829857922802775), np.float64(1.0067123608424644)]","[np.float64(0.0004366750817353765), np.float64(1.0), np.float64(0.2956797603030025), np.float64(0.1220555108363461)]",0
1,"[np.float64(0.13679084073820916), np.float64(0.9040735208486291), np.float64(0.059766468906175554), np.float64(0.7917151135595917)]","[np.float64(0.2455245701290575), np.float64(0.9497816849139022), np.float64(0.05650331180709792), np.float64(0.8727088660126936)]","[np.float64(0.999169458093081), np.float64(1.3547381212333733), np.float64(0.015997201518222825), np.float64(1.2268353589136212)]","[np.float64(0.9996235691770696), np.float64(1.3507741082748572), np.float64(0.017834203424736038), np.float64(1.210541841595742)]","[np.float64(0.03597819930410502), np.float64(2.9163770079094125), np.float64(0.8245202219151797), np.float64(0.5020118203063044)]",49
2,"[np.float64(0.13679084073820916), np.float64(0.9040735208486291), np.float64(0.06067405425803124), np.float64(0.7918696037111077)]","[np.float64(0.2455245701290575), np.float64(0.9497816849139022), np.float64(0.05636646147099418), np.float64(0.8727916094604872)]","[np.float64(0.9926714708561264), np.float64(1.3547381212333733), np.float64(0.016141013407598246), np.float64(1.226756889533581)]","[np.float64(0.9973647831130873), np.float64(1.3507741082748572), np.float64(0.017985613907568025), np.float64(1.2110401443976084)]","[np.float64(0.03597819930410502), np.float64(2.9163770079094125), np.float64(0.8245202219151797), np.float64(0.5020118203063044)]",99
3,"[np.float64(0.13679084073820916), np.float64(0.9040735208486291), np.float64(0.06064943676906274), np.float64(0.7918062593234322)]","[np.float64(0.2455245701290575), np.float64(0.9497816849139022), np.float64(0.05635534536712472), np.float64(0.8727458747781338)]","[np.float64(0.9926714708561264), np.float64(1.3547381212333733), np.float64(0.016166023118206373), np.float64(1.226810747294012)]","[np.float64(0.9973647831130873), np.float64(1.3507741082748572), np.float64(0.018002594271100472), np.float64(1.2110565479444255)]","[np.float64(0.03597819930410502), np.float64(2.9163770079094125), np.float64(0.8245202219151797), np.float64(0.5020118203063044)]",149
4,"[np.float64(0.13679084073820916), np.float64(0.9040735208486291), np.float64(0.06065504887210611), np.float64(0.7918264380675045)]","[np.float64(0.2455245701290575), np.float64(0.9497816849139022), np.float64(0.05635801193099349), np.float64(0.8727604959837484)]","[np.float64(0.9926714708561264), np.float64(1.3547381212333733), np.float64(0.015764907378985088), np.float64(1.2266873536489604)]","[np.float64(0.9973647831130873), np.float64(1.3507741082748572), np.float64(0.01771258685743817), np.float64(1.2109541183833994)]","[np.float64(0.03597819930410502), np.float64(2.9163770079094125), np.float64(0.8245202219151797), np.float64(0.5020118203063044)]",199
5,"[np.float64(0.13679084073820916), np.float64(0.9040735208486291), np.float64(0.06293100015429884), np.float64(0.7977425361462775)]","[np.float64(0.2455245701290575), np.float64(0.9497816849139022), np.float64(0.05907452296931955), np.float64(0.8778323131456449)]","[np.float64(0.9926714708561264), np.float64(1.3547381212333733), np.float64(0.015703770626960583), np.float64(1.2266189889304617)]","[np.float64(0.9973647831130873), np.float64(1.3507741082748572), np.float64(0.01764059964297189), np.float64(1.2112350521893887)]","[np.float64(0.03597819930410502), np.float64(2.9163770079094125), np.float64(0.8245202219151797), np.float64(0.5020118203063044)]",249
6,"[np.float64(0.13679084073820916), np.float64(0.9040735208486291), np.float64(0.06293283534756573), np.float64(0.7977486140197951)]","[np.float64(0.2455245701290575), np.float64(0.9497816849139022), np.float64(0.05907528080002438), np.float64(0.8778354896764681)]","[np.float64(0.9926714708561264), np.float64(1.3547381212333733), np.float64(0.01547521070277368), np.float64(1.2265381333447585)]","[np.float64(0.9973647831130873), np.float64(1.3507741082748572), np.float64(0.017469123894295703), np.float64(1.2111651469379192)]","[np.float64(0.03597819930410502), np.float64(2.9163770079094125), np.float64(0.8245202219151797), np.float64(0.5020118203063044)]",299
