,Cassual-supp,Cassual-conf,Max-conf,hipervolumen,generacion
0,"[np.float64(0.039513449119067026), np.float64(0.9996990406922064), np.float64(0.03889722994706378), np.float64(0.7390257696407299)]","[np.float64(0.0), np.float64(0.9034472813001605), np.float64(0.02660320841186337), np.float64(0.5118798588121096)]","[np.float64(0.0), np.float64(1.0), np.float64(0.037474626643795174), np.float64(0.30423568507659554)]","[np.float64(0.0008583643919167014), np.float64(0.04032657788277567), np.float64(0.014681058480170145), np.float64(0.011152190737864037)]",0
1,"[np.float64(0.04098062574456079), np.float64(1.0), np.float64(0.033504166973615544), np.float64(0.8002145066566347)]","[np.float64(0.0), np.float64(0.9962755818619582), np.float64(0.013649391740984698), np.float64(0.7426299459728541)]","[np.float64(0.0), np.float64(1.0), np.float64(0.05062782112311779), np.float64(0.9113028525945568)]","[np.float64(0.033258056929155656), np.float64(0.5706601919698715), np.float64(0.2122379931664714), np.float64(0.2916095550963781)]",49
2,"[np.float64(0.04268606182205781), np.float64(1.0), np.float64(0.023333070157561295), np.float64(0.8149465379229628)]","[np.float64(0.0), np.float64(0.9992664024879615), np.float64(0.015329920088649512), np.float64(0.7698351973989506)]","[np.float64(0.0), np.float64(1.0), np.float64(0.055425314542876754), np.float64(0.9354766109333745)]","[np.float64(0.03329842260914685), np.float64(0.592437853559357), np.float64(0.20830456308515247), np.float64(0.34094156072725196)]",99
3,"[np.float64(0.04268606182205781), np.float64(1.0), np.float64(0.02062353195975246), np.float64(0.8233776412314253)]","[np.float64(0.0), np.float64(0.9992664024879615), np.float64(0.018653283402866417), np.float64(0.7787482499897382)]","[np.float64(0.0), np.float64(1.0), np.float64(0.0553642932635275), np.float64(0.9366772603422495)]","[np.float64(0.03329842260914685), np.float64(0.592437853559357), np.float64(0.20830456308515247), np.float64(0.34094156072725196)]",149
4,"[np.float64(0.04268606182205781), np.float64(1.0), np.float64(0.02029883559175276), np.float64(0.8234251050222584)]","[np.float64(0.0), np.float64(0.9992664024879615), np.float64(0.018990308647777912), np.float64(0.7804858518120945)]","[np.float64(0.0), np.float64(1.0), np.float64(0.062337417680319356), np.float64(0.9383198343589744)]","[np.float64(0.03329842260914685), np.float64(0.592437853559357), np.float64(0.20666776193685693), np.float64(0.3426295932373349)]",199
5,"[np.float64(0.03977678851338642), np.float64(1.0), np.float64(0.019996312378335494), np.float64(0.8243775367316657)]","[np.float64(0.0), np.float64(0.9992664024879615), np.float64(0.01907134170670854), np.float64(0.7815675587852737)]","[np.float64(0.0), np.float64(1.0), np.float64(0.062450220255493585), np.float64(0.9383933253811174)]","[np.float64(0.03329842260914685), np.float64(0.592437853559357), np.float64(0.20666776193685693), np.float64(0.3426295932373349)]",249
6,"[np.float64(0.03977678851338642), np.float64(1.0), np.float64(0.020032085190472768), np.float64(0.82389355654482)]","[np.float64(0.0), np.float64(0.9992664024879615), np.float64(0.019820953016197924), np.float64(0.7853790373187485)]","[np.float64(0.0), np.float64(1.0), np.float64(0.05718301897018041), np.float64(0.9437424623645855)]","[np.float64(0.03329842260914685), np.float64(0.592437853559357), np.float64(0.20666776193685693), np.float64(0.3426295932373349)]",299
