,obj_0,obj_1,obj_2,obj_3,hipervolumen,generacion
0,"[np.float64(0.0), np.float64(0.3707691884002093), np.float64(0.10036529493856268), np.float64(0.07808130519733926)]","[np.float64(0.0), np.float64(0.597369263963955), np.float64(0.16168867904435136), np.float64(0.16419028112764908)]","[np.float64(-0.09084537426751706), np.float64(0.14618589346894395), np.float64(0.035672836246997804), np.float64(0.011789887174749906)]","[np.float64(-0.036136338637967245), np.float64(0.10804676802303065), np.float64(0.01924583190277797), np.float64(0.007094237479912513)]",0.0,0
1,"[np.float64(0.8140571383494825), np.float64(1.0), np.float64(0.0438978657717198), np.float64(0.8926926284392741)]","[np.float64(0.8990329359797151), np.float64(1.0), np.float64(0.023740104834272375), np.float64(0.9429218513761051)]","[np.float64(0.0), np.float64(0.28293634596146344), np.float64(0.0893664378416101), np.float64(0.18680678952547092)]","[np.float64(0.0), np.float64(0.2562872353117975), np.float64(0.08849840101825208), np.float64(0.18194512706610957)]",0.0,49
2,"[np.float64(0.8140571383494825), np.float64(1.0), np.float64(0.043235070254485725), np.float64(0.8923634541963749)]","[np.float64(0.8990329359797151), np.float64(1.0), np.float64(0.023407338308646077), np.float64(0.9427556060032151)]","[np.float64(0.0), np.float64(0.28293634596146344), np.float64(0.0893664378416101), np.float64(0.18680678952547092)]","[np.float64(0.0), np.float64(0.2562872353117975), np.float64(0.08849840101825208), np.float64(0.18194512706610957)]",0.0,99
3,"[np.float64(0.8140571383494825), np.float64(1.0), np.float64(0.043235070254485725), np.float64(0.8923634541963749)]","[np.float64(0.8990329359797151), np.float64(1.0), np.float64(0.023407338308646077), np.float64(0.9427556060032151)]","[np.float64(0.0), np.float64(0.28293634596146344), np.float64(0.0893664378416101), np.float64(0.18680678952547092)]","[np.float64(0.0), np.float64(0.2562872353117975), np.float64(0.08849840101825208), np.float64(0.18194512706610957)]",0.0,149
4,"[np.float64(0.8140571383494825), np.float64(1.0), np.float64(0.043235070254485725), np.float64(0.8923634541963749)]","[np.float64(0.8990329359797151), np.float64(1.0), np.float64(0.023407338308646077), np.float64(0.9427556060032151)]","[np.float64(0.0), np.float64(0.28293634596146344), np.float64(0.0893664378416101), np.float64(0.18680678952547092)]","[np.float64(0.0), np.float64(0.2562872353117975), np.float64(0.08849840101825208), np.float64(0.18194512706610957)]",0.0,199
5,"[np.float64(0.8140571383494825), np.float64(1.0), np.float64(0.043235070254485725), np.float64(0.8923634541963749)]","[np.float64(0.8990329359797151), np.float64(1.0), np.float64(0.023407338308646077), np.float64(0.9427556060032151)]","[np.float64(0.0), np.float64(0.28293634596146344), np.float64(0.0893664378416101), np.float64(0.18680678952547092)]","[np.float64(0.0), np.float64(0.2562872353117975), np.float64(0.08849840101825208), np.float64(0.18194512706610957)]",0.0,249
6,"[np.float64(0.8140571383494825), np.float64(1.0), np.float64(0.043235070254485725), np.float64(0.8923634541963749)]","[np.float64(0.8990329359797151), np.float64(1.0), np.float64(0.023407338308646077), np.float64(0.9427556060032151)]","[np.float64(0.0), np.float64(0.28293634596146344), np.float64(0.0893664378416101), np.float64(0.18680678952547092)]","[np.float64(0.0), np.float64(0.2562872353117975), np.float64(0.08849840101825208), np.float64(0.18194512706610957)]",0.0,299
