,obj_0,obj_1,obj_2,obj_3,hipervolumen,generacion
0,"[np.float64(0.0), np.float64(0.5292195583678022), np.float64(0.13390772579096297), np.float64(0.09327643154464683)]","[np.float64(0.0), np.float64(0.7253015354640472), np.float64(0.20000641368744818), np.float64(0.18752345082125815)]","[np.float64(-0.02540106707361453), np.float64(0.14238563323345696), np.float64(0.04134984255424084), np.float64(0.026490160810798483)]","[np.float64(-0.01268440532713285), np.float64(0.06964147348306966), np.float64(0.021055835345945035), np.float64(0.013192115304507934)]",0.00024502208306412715,0
1,"[np.float64(0.24300910187520558), np.float64(1.0), np.float64(0.24009878572138105), np.float64(0.7986654853929015)]","[np.float64(0.4181292496801686), np.float64(1.0), np.float64(0.1838757025991471), np.float64(0.8686986288570182)]","[np.float64(0.0), np.float64(0.36903107819351044), np.float64(0.09618380005177486), np.float64(0.15680087200457501)]","[np.float64(0.0), np.float64(0.28347091266962393), np.float64(0.07665214246543756), np.float64(0.13388148774508685)]",0.0,49
2,"[np.float64(0.26320296169441165), np.float64(1.0), np.float64(0.20333594346601558), np.float64(0.814044830246257)]","[np.float64(0.4181292496801686), np.float64(1.0), np.float64(0.16048973600503058), np.float64(0.8803132154813187)]","[np.float64(0.0), np.float64(0.6366589124075088), np.float64(0.14690924357398927), np.float64(0.19177033485546288)]","[np.float64(0.0), np.float64(0.6344693683735657), np.float64(0.14770330904954304), np.float64(0.17584633277125344)]",0.0,99
3,"[np.float64(0.26320296169441165), np.float64(1.0), np.float64(0.20315400766838115), np.float64(0.8135300698754013)]","[np.float64(0.4181292496801686), np.float64(1.0), np.float64(0.16038723138946073), np.float64(0.8800371378212404)]","[np.float64(0.0), np.float64(0.6366589124075088), np.float64(0.14631198877181809), np.float64(0.19394960369102782)]","[np.float64(0.0), np.float64(0.6344693683735657), np.float64(0.14727647207199518), np.float64(0.1775511678937066)]",0.0,149
4,"[np.float64(0.26320296169441165), np.float64(1.0), np.float64(0.20315400766838115), np.float64(0.8135300698754013)]","[np.float64(0.4181292496801686), np.float64(1.0), np.float64(0.16038723138946073), np.float64(0.8800371378212404)]","[np.float64(0.0), np.float64(0.6366589124075088), np.float64(0.14631198877181809), np.float64(0.19394960369102782)]","[np.float64(0.0), np.float64(0.6344693683735657), np.float64(0.14727647207199518), np.float64(0.1775511678937066)]",0.0,199
5,"[np.float64(0.26320296169441165), np.float64(1.0), np.float64(0.20315400766838115), np.float64(0.8135300698754013)]","[np.float64(0.4181292496801686), np.float64(1.0), np.float64(0.16038723138946073), np.float64(0.8800371378212404)]","[np.float64(0.0), np.float64(0.6366589124075088), np.float64(0.14631198877181809), np.float64(0.19394960369102782)]","[np.float64(0.0), np.float64(0.6344693683735657), np.float64(0.14727647207199518), np.float64(0.1775511678937066)]",0.0,249
6,"[np.float64(0.26320296169441165), np.float64(1.0), np.float64(0.20315400766838115), np.float64(0.8135300698754013)]","[np.float64(0.4181292496801686), np.float64(1.0), np.float64(0.16038723138946073), np.float64(0.8800371378212404)]","[np.float64(0.0), np.float64(0.6366589124075088), np.float64(0.14631198877181809), np.float64(0.19394960369102782)]","[np.float64(0.0), np.float64(0.6344693683735657), np.float64(0.14727647207199518), np.float64(0.1775511678937066)]",0.0,299
