,obj_0,obj_1,obj_2,obj_3,hipervolumen,generacion
0,"[np.float64(0.0), np.float64(0.40804687834157893), np.float64(0.06467867295773595), np.float64(0.03964496549735329)]","[np.float64(0.0), np.float64(0.610798241071906), np.float64(0.11014574860197791), np.float64(0.1076320556932373)]","[np.float64(-0.07184233986811554), np.float64(0.16796293862111558), np.float64(0.029648349200409155), np.float64(0.012157283303862525)]","[np.float64(-0.0715871906795956), np.float64(0.08207173905016303), np.float64(0.015903602262009525), np.float64(0.0053936013856718725)]",0.0,0
1,"[np.float64(0.1785080366827729), np.float64(1.0), np.float64(0.19680313768084057), np.float64(0.8366924395728125)]","[np.float64(0.35578301302444865), np.float64(1.0), np.float64(0.1539397402586481), np.float64(0.8972419000063733)]","[np.float64(0.0), np.float64(0.298069979403093), np.float64(0.11455752537494858), np.float64(0.1772385927596206)]","[np.float64(0.0), np.float64(0.25916569480850943), np.float64(0.10742903604262631), np.float64(0.16516511874031464)]",0.0,49
2,"[np.float64(0.1752788977663443), np.float64(1.0), np.float64(0.19689333149164884), np.float64(0.8366655300818421)]","[np.float64(0.35272672670845023), np.float64(1.0), np.float64(0.15402954818062373), np.float64(0.89721643095374)]","[np.float64(0.0), np.float64(0.298069979403093), np.float64(0.11455743550587792), np.float64(0.17723893770173463)]","[np.float64(0.0), np.float64(0.25916569480850943), np.float64(0.10743375516018751), np.float64(0.16515611334932898)]",0.0,99
3,"[np.float64(0.1752788977663443), np.float64(1.0), np.float64(0.196534108517013), np.float64(0.8353795893358061)]","[np.float64(0.35272672670845023), np.float64(1.0), np.float64(0.15401514589106485), np.float64(0.8964644791945278)]","[np.float64(0.0), np.float64(0.298069979403093), np.float64(0.11324582271321433), np.float64(0.17961514539729884)]","[np.float64(0.0), np.float64(0.25916569480850943), np.float64(0.10627332046528096), np.float64(0.16758715956278086)]",0.0,149
4,"[np.float64(0.1752788977663443), np.float64(1.0), np.float64(0.196534108517013), np.float64(0.8353795893358061)]","[np.float64(0.35272672670845023), np.float64(1.0), np.float64(0.15401514589106485), np.float64(0.8964644791945278)]","[np.float64(0.0), np.float64(0.298069979403093), np.float64(0.11324582271321433), np.float64(0.17961514539729884)]","[np.float64(0.0), np.float64(0.25916569480850943), np.float64(0.10627332046528096), np.float64(0.16758715956278086)]",0.0,199
5,"[np.float64(0.1752788977663443), np.float64(1.0), np.float64(0.196534108517013), np.float64(0.8353795893358061)]","[np.float64(0.35272672670845023), np.float64(1.0), np.float64(0.15401514589106485), np.float64(0.8964644791945278)]","[np.float64(0.0), np.float64(0.298069979403093), np.float64(0.11324582271321433), np.float64(0.17961514539729884)]","[np.float64(0.0), np.float64(0.25916569480850943), np.float64(0.10627332046528096), np.float64(0.16758715956278086)]",0.0,249
6,"[np.float64(0.1752788977663443), np.float64(1.0), np.float64(0.196534108517013), np.float64(0.8353795893358061)]","[np.float64(0.35272672670845023), np.float64(1.0), np.float64(0.15401514589106485), np.float64(0.8964644791945278)]","[np.float64(0.0), np.float64(0.298069979403093), np.float64(0.11324582271321433), np.float64(0.17961514539729884)]","[np.float64(0.0), np.float64(0.25916569480850943), np.float64(0.10627332046528096), np.float64(0.16758715956278086)]",0.0,299
