,Cassual-supp,Cassual-conf,Max-conf,hipervolumen,generacion
0,"[np.float64(0.04099316571571886), np.float64(0.9957364098062574), np.float64(0.029280149845354108), np.float64(0.7305152883148369)]","[np.float64(0.4296308925205772), np.float64(0.9034472813001605), np.float64(0.01911889922038132), np.float64(0.5174523205080898)]","[np.float64(0.0), np.float64(1.0), np.float64(0.021301164920532634), np.float64(0.29451009733929484)]","[np.float64(0.003693370954242853), np.float64(0.0402634666042797), np.float64(0.018285047825018424), np.float64(0.021978418779261277)]",0
1,"[np.float64(0.04454197755345163), np.float64(0.9994607812402031), np.float64(0.001647071434595998), np.float64(0.7199951407611762)]","[np.float64(0.0), np.float64(0.9954542034510434), np.float64(0.011577987210600937), np.float64(0.7547081696331219)]","[np.float64(0.0), np.float64(1.0), np.float64(0.012702615730590006), np.float64(0.8747151627407196)]","[np.float64(0.127410390341321), np.float64(0.47900803873951614), np.float64(0.17579882419909756), np.float64(0.3032092145404186)]",49
2,"[np.float64(0.04454197755345163), np.float64(0.9996865007210484), np.float64(0.001141623693088456), np.float64(0.7449556921019083)]","[np.float64(0.0), np.float64(0.9954542034510434), np.float64(0.019560905841439657), np.float64(0.8007391638835004)]","[np.float64(0.0), np.float64(1.0), np.float64(0.0014475814947511045), np.float64(0.925452149078684)]","[np.float64(0.127410390341321), np.float64(0.47900803873951614), np.float64(0.17579882419909756), np.float64(0.3032092145404186)]",99
3,"[np.float64(0.04020314753276068), np.float64(0.9996865007210484), np.float64(0.0006275154911389996), np.float64(0.746542782201601)]","[np.float64(0.0), np.float64(0.9954542034510434), np.float64(0.020405584589854142), np.float64(0.8089392348804625)]","[np.float64(0.0), np.float64(1.0), np.float64(0.007854254001124536), np.float64(0.9400627695190373)]","[np.float64(0.127410390341321), np.float64(0.47900803873951614), np.float64(0.17579882419909756), np.float64(0.3032092145404186)]",149
4,"[np.float64(0.04020314753276068), np.float64(0.999811900432629), np.float64(0.001032159663095028), np.float64(0.747421677430142)]","[np.float64(0.0), np.float64(0.9954542034510434), np.float64(0.01367075525209916), np.float64(0.8115796668546574)]","[np.float64(0.0), np.float64(1.0), np.float64(0.009004163705965226), np.float64(0.940303154134422)]","[np.float64(0.127410390341321), np.float64(0.47900803873951614), np.float64(0.17579882419909756), np.float64(0.3032092145404186)]",199
5,"[np.float64(0.04020314753276068), np.float64(0.9998871402595774), np.float64(0.00024838439865414175), np.float64(0.7511678370639748)]","[np.float64(0.0), np.float64(0.9954542034510434), np.float64(0.021821130232418197), np.float64(0.8124411850302928)]","[np.float64(0.0), np.float64(1.0), np.float64(0.0167030223614986), np.float64(0.9424460112772792)]","[np.float64(0.09998164933230752), np.float64(0.47900803873951614), np.float64(0.1895131947036043), np.float64(0.28949484403591186)]",249
6,"[np.float64(0.04020314753276068), np.float64(0.9998871402595774), np.float64(0.0002846285999454218), np.float64(0.7512707693272307)]","[np.float64(0.0), np.float64(0.9954542034510434), np.float64(0.021862216743624346), np.float64(0.8124926574543809)]","[np.float64(0.0), np.float64(1.0), np.float64(0.0167030223614986), np.float64(0.9424460112772792)]","[np.float64(0.09998164933230752), np.float64(0.47900803873951614), np.float64(0.1895131947036043), np.float64(0.28949484403591186)]",299
