,obj_0,obj_1,obj_2,hipervolumen,generacion
0,"[np.float64(0.0008652580099065772), np.float64(0.9947833719982444), np.float64(0.26896919126686486), np.float64(0.6076579513867119)]","[np.float64(0.0), np.float64(0.6542726889069896), np.float64(0.05746977176297282), np.float64(0.5094289730358962)]","[np.float64(0.0), np.float64(1.0), np.float64(0.30825387889449823), np.float64(0.4435280238666485)]",0.0007597717725249237,0
1,"[np.float64(0.4475390306602295), np.float64(0.9604990908520911), np.float64(0.16506239191295755), np.float64(0.713762513846218)]","[np.float64(0.5), np.float64(0.909100599433172), np.float64(0.1272306304346969), np.float64(0.7114453353964268)]","[np.float64(0.3961470327723649), np.float64(1.0), np.float64(0.11834531575751844), np.float64(0.9364811245693013)]",0.8967193516360942,49
2,"[np.float64(0.4475390306602295), np.float64(0.901699166091918), np.float64(0.1637358968426441), np.float64(0.7350285284343845)]","[np.float64(0.5020665178279959), np.float64(0.909100599433172), np.float64(0.12465093941068181), np.float64(0.7091949773474918)]","[np.float64(0.3961470327723649), np.float64(1.0), np.float64(0.11264139392309648), np.float64(0.9418988147011581)]",0.8967193516360942,99
3,"[np.float64(0.44757665057370366), np.float64(0.901699166091918), np.float64(0.16359333059168668), np.float64(0.7349249691725708)]","[np.float64(0.5032876513076605), np.float64(0.909100599433172), np.float64(0.12460543321712293), np.float64(0.7090967823842068)]","[np.float64(0.4049726085124315), np.float64(1.0), np.float64(0.11147234221498477), np.float64(0.9419254588300283)]",0.8967193516360942,149
4,"[np.float64(0.44757665057370366), np.float64(0.901699166091918), np.float64(0.1635931470518884), np.float64(0.7349250736723305)]","[np.float64(0.5032876513076605), np.float64(0.909100599433172), np.float64(0.1246050282629345), np.float64(0.7091043540792334)]","[np.float64(0.4049726085124315), np.float64(1.0), np.float64(0.11147444060805761), np.float64(0.941940555448386)]",0.8967193516360942,199
5,"[np.float64(0.44747633080443916), np.float64(0.901699166091918), np.float64(0.16359001060800155), np.float64(0.7349284176646393)]","[np.float64(0.5033327920097198), np.float64(0.909100599433172), np.float64(0.12305579834688406), np.float64(0.7070779627077675)]","[np.float64(0.40525210084033614), np.float64(1.0), np.float64(0.11151336705924882), np.float64(0.9378904344059968)]",0.8967193516360942,249
6,"[np.float64(0.44747633080443916), np.float64(0.901699166091918), np.float64(0.1632301307456323), np.float64(0.7354386899910129)]","[np.float64(0.5046926928986056), np.float64(0.909100599433172), np.float64(0.12299093975120569), np.float64(0.7069687567762908)]","[np.float64(0.39327731092436974), np.float64(1.0), np.float64(0.11283614314201695), np.float64(0.9373039385897216)]",0.8967193516360942,299
