,Cassual-supp,Cassual-conf,Max-conf,hipervolumen,generacion
0,"[np.float64(0.0001755595962129287), np.float64(0.999824440403787), np.float64(0.018719437052572736), np.float64(0.7122704244780237)]","[np.float64(0.0), np.float64(0.9653578952648475), np.float64(0.026603972751132132), np.float64(0.507263048342991)]","[np.float64(0.0), np.float64(1.0), np.float64(0.022537693859223915), np.float64(0.3332936179502869)]","[np.float64(6.0576256131208435e-06), np.float64(0.05276867249460919), np.float64(0.015375674270782822), np.float64(0.012323171356475855)]",0
1,"[np.float64(0.0001003197692645307), np.float64(1.0), np.float64(0.031428180409900655), np.float64(0.8143631680147134)]","[np.float64(0.0), np.float64(0.9943632122792938), np.float64(0.01805708050504392), np.float64(0.6929915910479316)]","[np.float64(0.0), np.float64(1.0), np.float64(0.04393100734920333), np.float64(0.9224956817763375)]","[np.float64(0.034788075660203775), np.float64(0.5717100507868833), np.float64(0.21977438708857147), np.float64(0.23184508785859603)]",49
2,"[np.float64(0.0001003197692645307), np.float64(1.0), np.float64(0.03305390842041535), np.float64(0.8201723828035193)]","[np.float64(0.0), np.float64(0.9943632122792938), np.float64(0.013441706184470586), np.float64(0.7171864266456767)]","[np.float64(0.0), np.float64(1.0), np.float64(0.03546369470070954), np.float64(0.95654020675164)]","[np.float64(0.034788075660203775), np.float64(0.584280624763216), np.float64(0.20952659511752186), np.float64(0.23259076082940533)]",99
3,"[np.float64(0.0001003197692645307), np.float64(1.0), np.float64(0.03189627268642833), np.float64(0.8231674190649361)]","[np.float64(0.0), np.float64(0.9943632122792938), np.float64(0.013763481848974638), np.float64(0.7210701151767194)]","[np.float64(0.0), np.float64(1.0), np.float64(0.04547683241780997), np.float64(0.9581542740819365)]","[np.float64(0.034788075660203775), np.float64(0.584280624763216), np.float64(0.22532650676574634), np.float64(0.2791364318553011)]",149
4,"[np.float64(0.0001003197692645307), np.float64(1.0), np.float64(0.031850427642267594), np.float64(0.8242701632286245)]","[np.float64(0.0), np.float64(0.9943632122792938), np.float64(0.015503785451977338), np.float64(0.7227176225319195)]","[np.float64(0.0), np.float64(1.0), np.float64(0.03624962474141606), np.float64(0.9595621821918222)]","[np.float64(0.034788075660203775), np.float64(0.584280624763216), np.float64(0.22532650676574634), np.float64(0.2791364318553011)]",199
5,"[np.float64(0.0001003197692645307), np.float64(1.0), np.float64(0.031456838781361594), np.float64(0.8287485213284009)]","[np.float64(0.0), np.float64(0.9943632122792938), np.float64(0.01589829085427328), np.float64(0.7242362143562114)]","[np.float64(0.0), np.float64(1.0), np.float64(0.03537091604976356), np.float64(0.9622625332891405)]","[np.float64(0.034788075660203775), np.float64(0.584280624763216), np.float64(0.21573348564852), np.float64(0.3202355788005456)]",249
6,"[np.float64(0.0001003197692645307), np.float64(1.0), np.float64(0.031768631517364386), np.float64(0.8287282483750287)]","[np.float64(0.0), np.float64(0.9943632122792938), np.float64(0.015566542837891727), np.float64(0.724493857611674)]","[np.float64(0.0), np.float64(1.0), np.float64(0.03468767330872787), np.float64(0.9652323380174617)]","[np.float64(0.034788075660203775), np.float64(0.584280624763216), np.float64(0.21557969087735174), np.float64(0.32082015553735393)]",299
