,Cassual-supp,Cassual-conf,Max-conf,hipervolumen,generacion
0,"[np.float64(0.04140698476393504), np.float64(0.9993730014420967), np.float64(0.016694449829230244), np.float64(0.6788315672873952)]","[np.float64(0.13108196227929375), np.float64(0.7762492371230552), np.float64(0.007156515911362125), np.float64(0.5096716213783435)]","[np.float64(0.0), np.float64(1.0), np.float64(0.020860660905608626), np.float64(0.35288731492147435)]","[np.float64(0.0005498280024024687), np.float64(0.011799581350957497), np.float64(0.0033161696377135264), np.float64(0.0033009645680443568)]",0
1,"[np.float64(0.10192488557276318), np.float64(0.9802370054548875), np.float64(0.017345823394527254), np.float64(0.7201891759148953)]","[np.float64(0.5000761759664826), np.float64(0.9628749498394864), np.float64(0.020303903556744177), np.float64(0.7433901105339806)]","[np.float64(0.04477611940298507), np.float64(1.0), np.float64(0.03844215250783442), np.float64(0.9207519308578238)]","[np.float64(0.2117052952790405), np.float64(0.45079865091068255), np.float64(0.06827604742734517), np.float64(0.35738345287017936)]",49
2,"[np.float64(0.10192488557276318), np.float64(0.9873095491880368), np.float64(0.02121358628557803), np.float64(0.7316325683950927)]","[np.float64(0.5001200323484789), np.float64(0.9899741673354735), np.float64(0.019867972267280393), np.float64(0.7670688597116102)]","[np.float64(0.04477611940298507), np.float64(1.0), np.float64(0.045927498159845086), np.float64(0.9402516347259837)]","[np.float64(0.26299338670749217), np.float64(0.45079865091068255), np.float64(0.055246235330358655), np.float64(0.36518827819680144)]",99
3,"[np.float64(0.10192488557276318), np.float64(0.9965138880180575), np.float64(0.02046040451813418), np.float64(0.7327839153969945)]","[np.float64(0.5001200323484789), np.float64(0.9899741673354735), np.float64(0.019370358532455324), np.float64(0.7715250216621706)]","[np.float64(0.1111111111111111), np.float64(1.0), np.float64(0.041611883465331415), np.float64(0.9477649630960748)]","[np.float64(0.28042888610046585), np.float64(0.45079865091068255), np.float64(0.05218392835817883), np.float64(0.3669329442966366)]",149
4,"[np.float64(0.10192488557276318), np.float64(0.9965138880180575), np.float64(0.02378199938191641), np.float64(0.7374080924613873)]","[np.float64(0.5001200323484789), np.float64(0.9899741673354735), np.float64(0.01783021123380847), np.float64(0.7720870134556133)]","[np.float64(0.1111111111111111), np.float64(1.0), np.float64(0.0386474546392958), np.float64(0.9476625880151544)]","[np.float64(0.28042888610046585), np.float64(0.45079865091068255), np.float64(0.05218546596961201), np.float64(0.3669418745265646)]",199
5,"[np.float64(0.10158630635149539), np.float64(0.9965138880180575), np.float64(0.024263988038128625), np.float64(0.7386688193617155)]","[np.float64(0.5001200323484789), np.float64(0.9899741673354735), np.float64(0.01780702661727626), np.float64(0.7725193170978224)]","[np.float64(0.1111111111111111), np.float64(1.0), np.float64(0.039186904921938576), np.float64(0.9473980011384983)]","[np.float64(0.28042888610046585), np.float64(0.45079865091068255), np.float64(0.05218392835817883), np.float64(0.3669329442966366)]",249
6,"[np.float64(0.10173678600539218), np.float64(0.9991849018747256), np.float64(0.024908069988177788), np.float64(0.7397112776140615)]","[np.float64(0.5001043716879916), np.float64(0.9899741673354735), np.float64(0.018116755454743498), np.float64(0.7736042812047476)]","[np.float64(0.1111111111111111), np.float64(1.0), np.float64(0.03882544858042754), np.float64(0.9474441958570725)]","[np.float64(0.28042888610046585), np.float64(0.45079865091068255), np.float64(0.05218392835817883), np.float64(0.3669329442966366)]",299
