,Jaccard,Coseno,Phi,Kappa,hipervolumen,generacion
0,"[np.float64(0.0), np.float64(0.7746179911770348), np.float64(0.03810606331986085), np.float64(0.06470247691417429)]","[np.float64(0.0), np.float64(0.8747821328717761), np.float64(0.03925523173345414), np.float64(0.14147915589032925)]","[np.float64(0.0), np.float64(1.3419102137462517), np.float64(0.0282745870153688), np.float64(1.0114830898763358)]","[np.float64(0.9278258683172121), np.float64(1.251067404096041), np.float64(0.008507992854264011), np.float64(1.0077652631709628)]","[np.float64(0.000421829343372866), np.float64(1.0), np.float64(0.3884625973591849), np.float64(0.22801748495229984)]",0
1,"[np.float64(0.41388424771974036), np.float64(0.9004267967380534), np.float64(0.050160475249099265), np.float64(0.8308918649360789)]","[np.float64(0.6433383617659841), np.float64(0.9478757664199697), np.float64(0.032492281738666244), np.float64(0.9065557465688062)]","[np.float64(1.0393736515559149), np.float64(1.298069979403093), np.float64(0.020459185272224928), np.float64(1.230755072321135)]","[np.float64(1.0203468309345816), np.float64(1.2591656948085095), np.float64(0.019788907408225958), np.float64(1.2187321365355033)]","[np.float64(0.07811534424729917), np.float64(2.8201100269835306), np.float64(1.0140493862165552), np.float64(0.7324375381120454)]",49
2,"[np.float64(0.41388424771974036), np.float64(0.9004267967380534), np.float64(0.05013837462131402), np.float64(0.8308477723286167)]","[np.float64(0.6433383617659841), np.float64(0.9478757664199697), np.float64(0.03247954602568118), np.float64(0.9065309395497865)]","[np.float64(1.0393736515559149), np.float64(1.298069979403093), np.float64(0.020504425663267496), np.float64(1.2307845439955358)]","[np.float64(1.0203468309345816), np.float64(1.2591656948085095), np.float64(0.01980139743304772), np.float64(1.218740819783573)]","[np.float64(0.07811534424729917), np.float64(2.8201100269835306), np.float64(1.0140493862165552), np.float64(0.7324375381120454)]",99
3,"[np.float64(0.41388424771974036), np.float64(0.9004267967380534), np.float64(0.05013837462131402), np.float64(0.8308477723286167)]","[np.float64(0.6433383617659841), np.float64(0.9478757664199697), np.float64(0.03247954602568118), np.float64(0.9065309395497865)]","[np.float64(1.0393736515559149), np.float64(1.298069979403093), np.float64(0.020504425663267496), np.float64(1.2307845439955358)]","[np.float64(1.0203468309345816), np.float64(1.2591656948085095), np.float64(0.01980139743304772), np.float64(1.218740819783573)]","[np.float64(0.07811534424729917), np.float64(2.8201100269835306), np.float64(1.0140493862165552), np.float64(0.7324375381120454)]",149
4,"[np.float64(0.41388424771974036), np.float64(0.9004267967380534), np.float64(0.05013837462131402), np.float64(0.8308477723286167)]","[np.float64(0.6433383617659841), np.float64(0.9478757664199697), np.float64(0.03247954602568118), np.float64(0.9065309395497865)]","[np.float64(1.0393736515559149), np.float64(1.298069979403093), np.float64(0.020504425663267496), np.float64(1.2307845439955358)]","[np.float64(1.0203468309345816), np.float64(1.2591656948085095), np.float64(0.01980139743304772), np.float64(1.218740819783573)]","[np.float64(0.07811534424729917), np.float64(2.8201100269835306), np.float64(1.0140493862165552), np.float64(0.7324375381120454)]",199
5,"[np.float64(0.41388424771974036), np.float64(0.9004267967380534), np.float64(0.05013837462131402), np.float64(0.8308477723286167)]","[np.float64(0.6433383617659841), np.float64(0.9478757664199697), np.float64(0.03247954602568118), np.float64(0.9065309395497865)]","[np.float64(1.0393736515559149), np.float64(1.298069979403093), np.float64(0.020504425663267496), np.float64(1.2307845439955358)]","[np.float64(1.0203468309345816), np.float64(1.2591656948085095), np.float64(0.01980139743304772), np.float64(1.218740819783573)]","[np.float64(0.07811534424729917), np.float64(2.8201100269835306), np.float64(1.0140493862165552), np.float64(0.7324375381120454)]",249
6,"[np.float64(0.41388424771974036), np.float64(0.9004267967380534), np.float64(0.05013837462131402), np.float64(0.8308477723286167)]","[np.float64(0.6433383617659841), np.float64(0.9478757664199697), np.float64(0.03247954602568118), np.float64(0.9065309395497865)]","[np.float64(1.0393736515559149), np.float64(1.298069979403093), np.float64(0.020504425663267496), np.float64(1.2307845439955358)]","[np.float64(1.0203468309345816), np.float64(1.2591656948085095), np.float64(0.01980139743304772), np.float64(1.218740819783573)]","[np.float64(0.07811534424729917), np.float64(2.8201100269835306), np.float64(1.0140493862165552), np.float64(0.7324375381120454)]",299
