,Jaccard,Coseno,Phi,Kappa,hipervolumen,generacion
0,"[np.float64(0.0), np.float64(0.7746179911770348), np.float64(0.03583587533701992), np.float64(0.05181418332100712)]","[np.float64(0.0), np.float64(0.8747821328717761), np.float64(0.034999514846835875), np.float64(0.12209266191409847)]","[np.float64(0.0), np.float64(1.2212558792967843), np.float64(0.03771212391653554), np.float64(1.0085161610375015)]","[np.float64(0.8846473742869374), np.float64(1.1167618017609287), np.float64(0.005786540880718003), np.float64(1.0053610023220538)]","[np.float64(0.00045569785458733164), np.float64(1.0), np.float64(0.297128025883184), np.float64(0.11755619826563968)]",0
1,"[np.float64(0.1362661864334105), np.float64(0.9040735208486291), np.float64(0.04196623833957894), np.float64(0.739622745349289)]","[np.float64(0.24495018694394816), np.float64(0.9497816849139022), np.float64(0.045931112145971335), np.float64(0.83728315565954)]","[np.float64(0.9926714708561264), np.float64(1.6366589124075088), np.float64(0.04442574081097185), np.float64(1.227626763182675)]","[np.float64(0.9973647831130873), np.float64(1.6344693683735656), np.float64(0.04593676488050371), np.float64(1.2102225327175935)]","[np.float64(0.0891902818454029), np.float64(2.6195980563637207), np.float64(0.7336004281135214), np.float64(0.47195031812112465)]",49
2,"[np.float64(0.17591325023416673), np.float64(0.9040735208486291), np.float64(0.038429210659651), np.float64(0.7453367367170778)]","[np.float64(0.29968489276578075), np.float64(0.9497816849139022), np.float64(0.03987555731525969), np.float64(0.8422440592104588)]","[np.float64(0.9926714708561264), np.float64(1.6366589124075088), np.float64(0.043889725583685764), np.float64(1.2342355040615853)]","[np.float64(0.9973647831130873), np.float64(1.6344693683735656), np.float64(0.04818963538774271), np.float64(1.2172940316283878)]","[np.float64(0.0891902818454029), np.float64(2.6195980563637207), np.float64(0.7532207096286614), np.float64(0.5442893808064778)]",99
3,"[np.float64(0.17591325023416673), np.float64(0.9040735208486291), np.float64(0.038124614456972114), np.float64(0.7434087169013923)]","[np.float64(0.29968489276578075), np.float64(0.9497816849139022), np.float64(0.03954916773196301), np.float64(0.8411239227557601)]","[np.float64(0.9926714708561264), np.float64(1.6366589124075088), np.float64(0.04381632076470863), np.float64(1.235684488983741)]","[np.float64(0.9973647831130873), np.float64(1.6344693683735656), np.float64(0.0481319784804461), np.float64(1.217841961022884)]","[np.float64(0.0891902818454029), np.float64(2.6195980563637207), np.float64(0.7532207096286614), np.float64(0.5442893808064778)]",149
4,"[np.float64(0.17591325023416673), np.float64(0.9040735208486291), np.float64(0.032777487284468956), np.float64(0.7450900585882072)]","[np.float64(0.29968489276578075), np.float64(0.9497816849139022), np.float64(0.03557566851151749), np.float64(0.8427602166971683)]","[np.float64(0.9926714708561264), np.float64(1.6366589124075088), np.float64(0.045203187109348834), np.float64(1.2377307130673068)]","[np.float64(0.9973647831130873), np.float64(1.6344693683735656), np.float64(0.04886705515338915), np.float64(1.2187626376411642)]","[np.float64(0.0891902818454029), np.float64(2.6195980563637207), np.float64(0.7532207096286614), np.float64(0.5442893808064778)]",199
5,"[np.float64(0.17591325023416673), np.float64(0.9040735208486291), np.float64(0.02839084655496902), np.float64(0.7496606100605533)]","[np.float64(0.29968489276578075), np.float64(0.9497816849139022), np.float64(0.031366355079985093), np.float64(0.8465107174567186)]","[np.float64(0.9926714708561264), np.float64(1.6366589124075088), np.float64(0.045857212501135815), np.float64(1.2381537481937765)]","[np.float64(0.9973647831130873), np.float64(1.6344693683735656), np.float64(0.0492236634283419), np.float64(1.2189922464480556)]","[np.float64(0.0891902818454029), np.float64(2.6195980563637207), np.float64(0.7532207096286614), np.float64(0.5442893808064778)]",249
6,"[np.float64(0.182932810201079), np.float64(0.9040735208486291), np.float64(0.031419364445783644), np.float64(0.7554742157101613)]","[np.float64(0.3597255767763485), np.float64(0.9497816849139022), np.float64(0.03298214422668917), np.float64(0.8515397165099664)]","[np.float64(0.9926714708561264), np.float64(1.6366589124075088), np.float64(0.04703405840686745), np.float64(1.2386650554396623)]","[np.float64(0.9973647831130873), np.float64(1.6344693683735656), np.float64(0.04979313163345952), np.float64(1.219449490071823)]","[np.float64(0.0891902818454029), np.float64(2.6195980563637207), np.float64(0.7532207096286614), np.float64(0.5442893808064778)]",299
