,Cassual-supp,Cassual-conf,Max-conf,hipervolumen,generacion
0,"[np.float64(0.03966392877296382), np.float64(0.9996990406922064), np.float64(0.029727770123753463), np.float64(0.6967802997053106)]","[np.float64(0.0), np.float64(0.9034472813001605), np.float64(0.019837419224043695), np.float64(0.5110761191989937)]","[np.float64(0.0), np.float64(1.0), np.float64(0.02994201600678009), np.float64(0.33241105926227)]","[np.float64(0.0002680907979673277), np.float64(0.0402634666042797), np.float64(0.013714926431001306), np.float64(0.009392877541909105)]",0
1,"[np.float64(0.039651388801805756), np.float64(1.0), np.float64(0.023457545784670145), np.float64(0.7433005831086589)]","[np.float64(0.0), np.float64(0.9954542034510434), np.float64(0.02415025975647567), np.float64(0.7286014356672654)]","[np.float64(0.0), np.float64(1.0), np.float64(0.04157285329389094), np.float64(0.8758342724260135)]","[np.float64(0.051786375582718217), np.float64(0.5067703837377424), np.float64(0.15372422807570596), np.float64(0.3698283686591817)]",49
2,"[np.float64(0.039651388801805756), np.float64(1.0), np.float64(0.026690372365329798), np.float64(0.7554501640646226)]","[np.float64(0.0), np.float64(0.9954542034510434), np.float64(0.018472565809540004), np.float64(0.7491388639829033)]","[np.float64(0.0), np.float64(1.0), np.float64(0.04252769528127927), np.float64(0.9047388641695211)]","[np.float64(0.051786375582718217), np.float64(0.5508138098844501), np.float64(0.15747216551858315), np.float64(0.38253796541210766)]",99
3,"[np.float64(0.039651388801805756), np.float64(1.0), np.float64(0.03242757283461204), np.float64(0.7600408907559514)]","[np.float64(0.0), np.float64(0.9954542034510434), np.float64(0.016549020904904867), np.float64(0.7562445388997964)]","[np.float64(0.0), np.float64(1.0), np.float64(0.03498194271411725), np.float64(0.913453435864113)]","[np.float64(0.051786375582718217), np.float64(0.5508410984946687), np.float64(0.15747508178412858), np.float64(0.38254069427312953)]",149
4,"[np.float64(0.039651388801805756), np.float64(1.0), np.float64(0.03348840201857081), np.float64(0.7607093757184358)]","[np.float64(0.0), np.float64(0.9954542034510434), np.float64(0.022403456679953946), np.float64(0.7605440676432205)]","[np.float64(0.0), np.float64(1.0), np.float64(0.026635845212107243), np.float64(0.9191617934409757)]","[np.float64(0.0434926557719844), np.float64(0.5508547432866232), np.float64(0.1842661106869453), np.float64(0.3415572977933627)]",199
5,"[np.float64(0.039651388801805756), np.float64(1.0), np.float64(0.033771721703933735), np.float64(0.7613448596568227)]","[np.float64(0.0), np.float64(0.9954542034510434), np.float64(0.02406688107652157), np.float64(0.7631964037192395)]","[np.float64(0.0), np.float64(1.0), np.float64(0.021215991681944102), np.float64(0.9245595452751681)]","[np.float64(0.0434926557719844), np.float64(0.5508547432866232), np.float64(0.18760721144233977), np.float64(0.33881442369246134)]",249
6,"[np.float64(0.039651388801805756), np.float64(1.0), np.float64(0.03375670704005235), np.float64(0.7615512048822287)]","[np.float64(0.0), np.float64(0.9954542034510434), np.float64(0.02443016026515935), np.float64(0.7637123698534675)]","[np.float64(0.0), np.float64(1.0), np.float64(0.02018253411640776), np.float64(0.9251710600253507)]","[np.float64(0.0434926557719844), np.float64(0.5508547432866232), np.float64(0.18760721144233977), np.float64(0.33881442369246134)]",299
